x0;x1;x2;y;y_hat;right
"+{Da\"[,c[Z<suU `Ox=bcm#UP!xQ";"LAGrSLBL&i*-9|pT{YF_s_o\tq#Fv04w5]@;Q9";"s#Pa9E{3i70|A&J*nsrU50\t<g|EBVK }JIm]";False;False;True
"La";"~w|>{7( [$dy.jsNli0>.( ";"+c?gM(z(;.XcGBQ|4[g[/~{P3)u)plA/7A1JJ*'^61rV/D&/7";True;True;True
"lcFt~tfk3X+P4W'KhV)vZB4 k|}*` ,<&U0t-g\\v~=";"vW9\\hD[YT[`7W/AFDoruN,}H\"%kfw'po:L<bTntH@V";":Fq-^6x2q)7Ipw0&Tb\tEq}y/|8aTM ";False;False;True
"H!\tz'<k+#+1jg3$dLZ)kQ28";"pqUk?CY\t5@\"g1EOw5~mp~4UXG#9";"e[Cs*H} ZxxOJO!LPC!sy+ZY{(V77ubb+~*1";True;True;True
"Yax|I=1GsQ6&tY'[vz}OTE\\Rv]Xja]%W\nZWJJQV&AZb\"|j";"L^LivEwj|y=u\n[t ]WD-?uhA-9";"";False;False;True
"MbUf1Q&}Q7m4[%u!;obPk4vAQO*`";"z%!1\nWMVF8j}  b\"";"w7>2kPA";False;False;True
"sGMTOa9h^?~j.F^]/;S ^ODq";"sGMTOa9h^?~j.F^]/;S ^ODq";"sGMTOa9h^?~j.F^]/;S ^ODq";False;False;True
"Vj0uLI$'Ur(f\\\nVX";"#t%yyK3[m";",\"M)X\taY+WsEKx&^!^0tE\nw)yXlV;";False;False;True
"1k@V2X\"WpZ][}t]a(;3q(`Wd\tT";"1k@V2X\"WpZ][}t]a(;3q(`Wd\tT";"1k@V2X\"WpZ][}t]a(;3q(`Wd\tT";False;False;True
"~";"~rTO(b";">Q1,dB<KVr;p j]5Sv -j9|U*\t=}xy1X$)Jp$%T2K7[t";True;True;True
"";"j~kf1c;z?&";"BmZ$[q10cI+<e;T#K'DnQ9QR-7S.?swD&4B! Ljl]Wn{TOE~";True;True;True
"}UOq'<";"ab^`)/bZe_\nIdL cWch=J-y:X";"8'y_T#";False;False;True
"*miUzt)X^K`U[%?r/`R^QmBdh(\"\\(dqK!,Lj";"1 _ZYC3e@434A\tlQQbLg;[EZQ(q{](LQUprId";"\t@\tqcyyP486'/KZ\\kr^";False;False;True
">#j%o;";",\nl&f9E]~%?[!";"U:%#1Qe*M?\tY]1<(7??v=c;=p:S\\I";True;True;True
"s=f6C+Y&&9`M`E|9PJj{2MiFKu7~O_Os_FO|U0\n,o";"tn(<Y5'I|;K1 OF!3#u}\n*:s^L}'uw0g0|\\wE>Ck";"{i\\WU!t$-j{b4qwsFohgKU!5I";False;False;True
"^O5TtiVou[q#<p#";"f0@2P}4P<R3f*+mX_\\CAV\"\nri";"L1z/:|C-6]R:/C\nQINJh0\nt\"dC&F\tZ_LH>L%Pd/[<cFe";True;True;True
"#*`0,A";"6Iz&U+^1%Uljgs@h>Es`cv<yccenrJ||5G,oH$";"xiO|^l.9%>l88+";False;False;True
"uHpmaLdE,K;2c_|\nb";"{foZ~5@";"h MR_OW\tvrC8v\"!/IBAK^ih]?L y";False;False;True
"VVdL!w\n4jl(>3\nOV";"[{ ";"u.Bw&bS\nL81e59UW},*";False;False;True
"E@tOC,=*C?c=[DE=";"+a<70<<,zP0Yu|&?4z7d!-(c53R+ULUM";"i21mryl)Dv^8h`D/SnWQFn>v)se`:bK-n`kGm?b\\)";True;True;True
"8<{#N9 <u/=J`@~\"|^KaSp\"P,!-<Dcsx\"";"_KTm@#p6IFLDhgP-=;DjX*'v5M_<.S|4&/Ir<hEY&=aQnUI";"Z8%$3";False;False;True
"l8<U0ajWr6'Ac*Fefilt9mdtblZN~ ";"SU^j.{YqLQS\\#/GYK,m|Jjd (|Bo4#/mN*";"sH`:q)7UX'_b1*E6YpH*PR(V*.^@!eEfr";False;False;True
"E=Zz0O5/\\>l^+1p.";"(jZu/K.\teDiXHm@B|HmS YFUqq73";"\"JS_L\"~sN$KW*cFrk+YU$ICF1xR'-rJgXL9E[ULdu";True;True;True
"0S2]-6i<WUy9\n\\&s5YzLe}}S`3";"Q!r$Z{X";"}9%m<oJ>QYo$2vw;NZA HlI`FG";False;False;True
"gw\\BJg&%IZZrR\n<qL ,3hH";"l_nq,)!l|pRWpjv}aNe;'6q]e";"kjaAn&k'WoJ$h\t.CqQ/Q)x>31XQ9EGz'`ztk:!lh/\tobTG";True;True;True
"~kHGy@DU.([=b\t6MFzP";"@_{||>g3";"7zti+OonX6q#63NFhMzGqjnN}HD?aka)ul.^th;mDq";False;False;True
"?E,iX/rVJ9Vj mi#Z*\\L+]t`xq@=l{h.0~U[(;4^b";"%}vxbKb;";"r0kRG?2Y|n&'Y2$+aXPFYWBBlw*UVtY*RX@7yl=,;";False;False;True
"\"}JqM4[I";"|i0E$JtI`^;1`3;xc8Jdo=%XY2 5~ph-iQ|<FAC]lm!.c";"*U+TvQa\\dj#4=YQ2f:;fL*RP^u4[99\\_7Iex9 ({M83iE><";True;True;True
"^h<xz~{5:7sPdR`\t(c=qt.";"2\\qWu^qsw$Ti8Or";"SSFlkfxtC;bFqlczg;w@";False;False;True
">I'zu3n*X|OC)#F|q^:p/F+>%l:%m'(/F";"qYcWf\thqH-";"Z";False;False;True
"'5N>+it";"WeLaS,i`58";">]z<7\"It@OMyp2h(t=EWA||$Y89";True;True;True
"s";"\"]CC6fn$t#v,mH]^`c!Rh\".|n:C";"96_eL9W^erWVliC";False;False;True
"6V3C#!&j9*3wANs;GI";"i{_-\"3fUvy";"g>-gS0`A>P ?T!vK~g7>)ED?&/`h;r~kq!Q";False;False;True
"Cxo_<<(2-3)X{%{fn7su[8}2eSc[y^";"<HB.v]?l'9eRC?nRKhaO=\\J\"wA|";"Hs5\\)w<c/j?y7N1A2NStTPK?R";False;False;True
"U&l=\t/&(X8|q@rk7AjddYY+G[n>U~CK (}v]kE";"4+!$q3oW@<_#*#1Bg^A\\XD@nJJ@aS^)ASvIqbM_k+\"";"4poa1@FyZ^::pSw";False;False;True
"Im4l}jSdn86cJ<1#[ceB89^\n~([t";"+!iil' e|^l6){in9g$Wl0E9_'wGgW>*";"sio.GwDk=\"[Dl5NmK[<Z3X5(+}=wx;\tVm{Vm";True;True;True
"&4Y";"&4Y";"&4Y";False;False;True
"fQLR`L30D_xfTcQ<4jewsn4j\t/n%gzWJ.'1";"S<@e@F7^r;\\\nr\t\"s3\nmiGxqX3)7 Uwcr6\nvM#T";"kCXP_wL^oH\nY^BzNP(4L~W@O$BGi)nd%a~d 3QEn2>q/u916";True;True;True
"z?-9w[z~ZB+vJ$\tL6d<Hd* ay qS{,akR`3e&VsRod0\n}";"OG]F7DgH2EolZugtpF(=$)&&R{.gRAs-dO;\"!>c?v$Yl<)3";"N>v16W tU/XQ:";False;False;True
"5J@\"eNd|C)W7x2/JYw5fJ\"{lG .uQ8GJLjv]X";"pS*>bsgjDZ H.AY\\";"p\\vJ=KO`Rh";False;False;True
"][:!>ciOSZG-@l\\%vz\"B?>3";"k0[Jw7[Jdaa";"sLr\\7yr]'!]MT7cw\"'$v}'3\tX^\tLxRMp^\"J`_Q/>O";False;False;True
"\\|'5\\(])";"mF~\t\"h*eLrQG[.z#hyy9.)-";"[V/'yr(tIzN$C;RY4X_></NBc8Jg%";True;True;True
"!rr&4P\\7]I<C$LU#Y@>g,]Dw\\}lpc8pP|kvxoV^i4j:";"/IezjqlC;61-v<#I[%D7!Ar:(:^f%%V#";"Lbm7+t+[J.SvLl0`NSyi";False;False;True
"W_:|8BWn)Zbg{O+N`2y~=K4*J#n\np)\noH52RJx.sbYrmF<";"W_:|8BWn)Zbg{O+N`2y~=K4*J#n\np)\noH52RJx.sbYrmF<";"W_:|8BWn)Zbg{O+N`2y~=K4*J#n\np)\noH52RJx.sbYrmF<";False;False;True
"PQz2M7C!^x1TO\n -gY&m";"vYHPgjlTRNj 4?&S%?=_dOp,HF)!wB\n[K;>:B34";"[o]?ilH|(>/O@;0^2zos54D\"V{Rv&Sh,4_Z$>a(5%Oc5#";True;True;True
"J]t?y5/L^I{Z: -fj9_\"Wec'Er\\tDwoxy";"NLdRZ-QR85I};j";"+f(qRc>ZLp,e\tDT?Ky\\r+";False;False;True
"p?3*'na";"x-i-4h9tj!AK.i4";"4{+=o>j{.n\ndO3'm%CX7TkkGhqNnF$u=S&QQ('P1'-";True;True;True
"Q*:aC)LLThfW%#y'~Ah..'y`Z+u ";"\nkI\\s}v_NK#:\"O479P5^\"zQJ'l?gF.M5";"].gro*yMp,L.u0\t;`).':cNw2zSAqm,tx!{w^";True;True;True
"r9#zbS({yNO|P";"xdTD:EU`-\"m41pOK^Bd>&I&sw*O$>ak5G.\tY9T(";"^Of8YG):GVg5,+JQfrf>y;.Cq";False;False;True
"2{%4e5'$Z5`z4+ex67FcEiUX5%RBw0";"pq4T|7_@fu5dF3v+ot!Dl/o,TlC3N)Q`[Gc7 ";"tA&xX<zM0)84f8IgxHG~[g@$>X\tG59q*N%dEoRi%v}<";True;True;True
" g,:8`mT~mR\\5oa\nEW1Up\n";"%;e|f*+}>9Xf4Q1lj\"l#rB\\yY7k\tfL!\"!Bt4+ hR[:-H";"1RuMri@cm3+";False;False;True
"m&V:yGscgia%q9?6iW!vAxj1IRTL`<{c5Qc,v2t";"m&V:yGscgia%q9?6iW!vAxj1IRTL`<{c5Qc,v2t";"m&V:yGscgia%q9?6iW!vAxj1IRTL`<{c5Qc,v2t";False;False;True
"]o";"0p^!F%g< J@?%*KA6Sgyi`0GmV\\UkM{)C";"ol)4H?\"Z'Vg-uB7dh>{`Xeu_'nZ\"!%zcGEV*c\"8: Bm+4";True;True;True
"l;jt@q!X\"$3|F_$Z8RePMR#0( .w*Z";"RdW";":\"GdZi[DV&o\"~a?\"r{";False;False;True
"K_^e4c7*i\n^";"s! `,_g#V/7\"6l\trH+c`b1Qah6kWo,<N3, \nZfm6P}";"/";False;False;True
"4>[Ckl5ba\nVjk,xiN";"|x^,?Xf4s\"C7/f1{nw8m2&";"['!Y;=E3:\t4C9K}#lU/Gd1Z>^kr\"E[+j`iB}e_%o\"50^";True;True;True
"T(&@8nRH*C$QN0)";"Cbyrg0!w(Xq9ar`\\";"SN&ngLJ8t>Mo/jDus3/<]x-\nS_mH]b)'^g";True;True;True
"%0d#k";"d2\tvtVeA0Iqn6[kH#xuY5W!zGCX1qjc";"EV#vTq0\nj>J(,YG~h{z";False;False;True
"^|-oGz^<kJTC~$5_Q!,k=n@d1+?";"^|-oGz^<kJTC~$5_Q!,k=n@d1+?";"^|-oGz^<kJTC~$5_Q!,k=n@d1+?";False;False;True
"LrbB|C70I7W@`8\\jr%adP\"ilSV[0\nJu7svDYwV";"`Z?";"S$oM-kNocq]8kga1%$FT?EV0(@!~>6";False;False;True
"G-SZ1VrI<{i '-u";"WC\"SP\"6D[m/tM5J-deB%F Gqm.nM RCr";"U2V7";False;False;True
"Rz`=,h}&.tL!uVDCYH";"\"\"/aFeX2`Y#)+e;v";"";False;False;True
"cnC^O%\n$ZofhQ0,Q(F1R=OiWR!3cy@6tX=[^";">H+eVZr_U:\\t s_";"4L{ 754ve^+Xsd";False;False;True
"p!M";"Gqf!9Hv";"z;c`3ImJ>|#o";True;True;True
"%c&jc\\k@)\"[>V;";"5ydJ\":8e,gZ[LQP\tOXHDct3taZE7mNS*OZ?XbK<'5kJn8";"ovy:?";False;False;True
"zS\t@9BMsp5/vX`tu|)@J6#Ct";"w2MS],BzE&cU}nE;Y'|gK=xku/,v8WT@>LhS3uX,i$8T?";"sf;@+W\"_V M5#xm$><6eR]+";False;False;True
"ReLiCa\"7a{:w3x?6u";"GyPx?=.vE>- Xfd\"!`e";" wk9:$%Hc;+IV'ge_uKZ\\C";True;True;True
"/r#b,g\n(&AA9\\gvV.%_\\rHN8ao d!|m-Xc0k <U)a1(%3YYv";"DyL2I(u<T(5jHuKVTR XxHzuS+[h>)Dg_QiVPQp^T\\3g>gc?";"|[??tT_Sf%<DL|,{KR=,a--XCcbM#%LkT(=b{cD";False;False;True
"wz%Y`_j*[k[1J)>m]c";"2xs?*flRBS1\td=$&qxzzCuM5AP,.H_cW";"?4=iA.CF]P2%*tn; E9_x={]_)6)2tT|7pPhyN~";True;True;True
"9$_Sg2lR$q}f&p_S\"K#sW2Opz&H<c5IDZ\nd`s9Wz";"<{%W\tAx:i>[7YI4ot6HHR*aF<s=!J|2/Qc:vd>\tlyKW";"Qc]R7[";False;False;True
"n_OL;~";"_W9,/+2@'ZHa<z\nV$";"[5*TM`3m6/Yh\n:mae3f@Q@t7~ALf8it*?(5DO<j7e?^";True;True;True
"^v";"O^cwV nDQ(\"Z&$>;YZ!yx%KHE\tOD'Ne\t)|";"2),L/M3SmoSAP-\tw>Ma@3D}5CD?IAM\nQ%sa+(x6";True;True;True
